ID	WT_r1	WT_r2	WT_r3	KO_r1	KO_r2	KO_r3	KO_rescue_r1	KO_rescue_r2	KO_rescue_r3
ENSMUSG00000020598	1.61	3.13	1.49	6.59	12.94	1.49	0.16	-0.16	1.49
ENSMUSG00000020599	60.15	33.55	72.02	58.64	63.24	49.99	41.9	49.54	47.55
ENSMUSG00000020601	4746.08	4565.32	3904.01	2629.42	3092.04	2765.78	8652.5	7898.77	8025.7
ENSMUSG00000020604	41.35	41.16	59.9	54.71	63.83	48.89	44.27	34.2	30.2
ENSMUSG00000020605	246.98	234.17	229.79	267.46	278.92	319.81	147.07	184.42	161.97
ENSMUSG00000020607	404.2	410.11	394.52	57.39	123.08	104.85	76.94	51.84	45.97
ENSMUSG00000020608	2934.95	2698.22	2774.73	2837.62	2507.3	2452.32	3962.83	3340.25	3095.52
ENSMUSG00000020610	1127.83	1281.53	1185.05	952.7	1010.08	921.29	922.89	902.49	889.75
ENSMUSG00000020611	4232.83	3333.49	3655.29	2944.9	2874.68	3138.29	4834.22	4139.68	4174.48
ENSMUSG00000020612	28341.37	32635.54	37594.95	29980.45	34270.07	33563.38	32631.56	31730.17	33015.47
ENSMUSG00000020614	304.31	353.36	277.07	110.24	101.36	169.87	147.54	188.85	279.36
ENSMUSG00000020617	11.06	21.46	8.57	24.55	25.24	12.37	20.15	23.84	40.31
ENSMUSG00000020620	0.11	5.96	0.16	6.5	0.22	6.61	0.11	0.22	0.16
ENSMUSG00000020621	789.9	875.84	838.35	800.39	804.65	920.16	850.03	1070.28	969.62
ENSMUSG00000020623	417.21	341.91	415.49	443.28	358.28	442.26	484.11	499.93	500.74
ENSMUSG00000020627	1.5	0.14	-0.02	0.73	1.25	5.49	1.54	3.77	2.06
ENSMUSG00000020628	2026.91	1882.65	2100.5	1917.13	1781.4	1754.41	2091.94	2178.94	2161
ENSMUSG00000020629	1645.34	1848.74	2013.55	1614.55	1901.12	1729.08	1661.12	2021.27	1897.05
ENSMUSG00000020630	643.8	683.2	605.99	619.66	584.25	694.94	646.53	679.66	627.4
ENSMUSG00000020634	1435.63	1145.28	1333.1	1292.89	1366.4	1506.65	1495	1435.13	1303.28
ENSMUSG00000020635	14.48	3.19	13.28	45.87	71.9	86.06	12.77	6.64	5.12
ENSMUSG00000020638	1098.5	1158.46	1369.29	1089.45	1303.62	1360.79	1983.76	1800.35	2052
ENSMUSG00000020639	0.68	0.74	0.43	0.85	4.79	0.43	0.01	0.02	0.43
ENSMUSG00000020640	2185.65	1763.47	1854.09	2017.48	1560.39	1681.37	3563.82	2397.76	2010.88
ENSMUSG00000020641	390.35	371.38	348.68	300.33	419.83	413.13	401.07	335.16	423.3
ENSMUSG00000020642	544.19	515.53	427.11	400.77	489.93	570.35	1205.99	1002.29	948.45
ENSMUSG00000020644	25987.79	26986.69	30688.66	43327.97	40514.03	40183.07	40129.2	40871.79	42647.96
ENSMUSG00000020646	7.53	2.19	2.55	19.5	18.23	29.78	5.03	7.17	9.32
ENSMUSG00000020647	1447.51	1384.4	1177.89	1434.41	1324.44	1442.16	1686.48	1200.31	1272.23
ENSMUSG00000020648	23.09	46.76	23.83	57.81	35.9	46.03	52.61	28.63	42.51
ENSMUSG00000020649	861.53	1082.08	1105.52	658.88	628.43	645.23	2011.62	1215.08	1656.07
ENSMUSG00000020650	1905.42	2061.17	2188.51	2190.87	2567.38	2128.67	2501.28	2773.67	2838.69
ENSMUSG00000020651	0.84	-0.29	1.91	8.46	24.8	4.1	3.25	-0.29	1.91
ENSMUSG00000020652	500.91	490.47	643.58	458.5	523.17	482.57	608.63	605.9	521.24
ENSMUSG00000020653	389.84	410.41	381.82	340.6	356.82	447.93	938.58	812.96	964.93
ENSMUSG00000020654	898.17	893.99	827.37	893.52	994.7	1062.09	846.31	757.71	822.47
ENSMUSG00000020656	177.41	121.77	95.46	86.86	69.07	102.66	213.38	222.66	183.38
ENSMUSG00000020657	166.99	194.9	191.89	207.05	129.89	186.98	196.64	158.05	167.92
ENSMUSG00000020658	3.07	5.78	6.34	15.8	2.36	13.53	11.25	8.55	2.57
ENSMUSG00000020659	1263.67	1420.22	1376.49	966.24	1088.98	954.05	1108.11	1041.92	1119.35
ENSMUSG00000020660	47.14	35.75	32.52	55.38	25.95	37.77	36.31	35.58	40.01
ENSMUSG00000020661	1264.18	1123.06	1321.89	1238.62	1115.61	1386.07	1558.57	1314.01	1184.21
ENSMUSG00000020664	2848.5	2689.35	3056.74	2796.67	3344.36	3064.78	3184.64	3486.51	3529.48
ENSMUSG00000020668	375.71	367.34	357.3	463.09	399.86	448.13	260.03	296.75	299.08
ENSMUSG00000020669	47.31	55.28	56.86	52.08	44.9	41.78	46.16	37.92	50.32
ENSMUSG00000020671	7979.19	8811.38	9627.12	8388.52	9028.54	8249.65	9374.59	9213.11	9695.55
ENSMUSG00000020672	1.46	2.27	0.98	6.96	6.16	0.98	-0.25	-0.08	0.98
ENSMUSG00000020674	31.96	19.58	16.82	99.74	163.47	108.42	6.55	2.93	8.77
ENSMUSG00000020676	1.58	0.24	0.37	1.27	2.18	1.38	2.42	2.34	1.7
ENSMUSG00000020677	1929.11	1810.43	1786.22	1666.37	1850.48	1711.54	2060.72	2011.09	1939.12
ENSMUSG00000020679	1.41	5.22	7.94	19.74	15.95	23.55	5.62	3.37	0.73
ENSMUSG00000020680	60.97	34.04	70.47	58.29	51.15	46.39	96.38	60.76	24.32
ENSMUSG00000020681	117.64	115.47	121.23	591.91	620.74	632.16	19.53	21.13	17.79
ENSMUSG00000020682	7.59	1.01	2.89	9.85	8.67	6.89	-0.81	1.01	0.67
ENSMUSG00000020686	0.08	0	1.06	11.65	15.08	5.38	0.08	0	1.06
ENSMUSG00000020687	622.8	475.98	418.86	447.89	443.59	505.05	785.05	556.05	618.06
ENSMUSG00000020689	646.08	1161.49	682.03	1588.04	1132.44	1458.92	2759.74	1725.87	2094.63
ENSMUSG00000020691	690.1	615.62	639.59	690.71	664.78	569.53	698.07	626.82	607.28
ENSMUSG00000020692	346.08	247.4	217.3	382.74	271.32	255.5	177.36	305.99	312.32
ENSMUSG00000020694	522.28	562.94	448.22	560.55	421.05	473.2	531.95	504.06	508.67
ENSMUSG00000020695	12.83	13.65	3.06	22.81	13.02	29.82	-0.02	3.72	1.27
ENSMUSG00000020696	545.44	511.73	482.73	654.75	545.82	508.27	499.82	512.23	546.02
ENSMUSG00000020697	450.21	518.04	475.34	423.9	389.11	347.47	536.53	478.04	559.95
ENSMUSG00000020698	19.56	20.7	33.49	28.61	24.83	17.48	22.2	29.27	26.37
ENSMUSG00000020700	3712.86	3389.35	3547.01	2943.43	2954.08	3431.98	3527.06	3121.17	2934.52
ENSMUSG00000020701	-0.13	0.26	2.4	34.26	34.7	18.27	-0.13	0.26	2.4
ENSMUSG00000020702	330.67	348.87	587.88	614.27	852.25	480.49	1108.05	1162.72	1613.6
ENSMUSG00000020705	3189.23	2794.03	2550.63	2283.4	2543.42	2310.71	2892.07	2515.35	2605.45
ENSMUSG00000020706	2005.53	2077.48	1971.88	1832.34	1880.47	1787.1	2286.11	2425.16	2512.77
ENSMUSG00000020707	487.41	595.33	538.01	539.62	638.89	584.49	507.37	496.12	539.6
ENSMUSG00000020708	4852.33	5528.73	5825.96	5093.51	5736	5313.36	6037.73	6181.21	6489.26
ENSMUSG00000020709	3.99	2.68	1.05	22.85	28.2	29.65	1.92	1.11	8.36
ENSMUSG00000020712	-0.05	0.03	0.4	-0.05	0.03	0.4	4.95	4.56	0.4
ENSMUSG00000020713	7.26	9.74	14.52	13.45	10.01	21.15	6.09	4.21	5.9
ENSMUSG00000020715	166.11	179.64	133.72	287.94	250.21	299.6	274.02	246.75	280.19
ENSMUSG00000020716	55.21	46.24	52.26	33.26	48.03	42.55	50.35	28.62	27
ENSMUSG00000020717	2777.12	2626.11	2156.79	2739.26	2630	2626.22	2092.91	2166.21	2235.44
ENSMUSG00000020718	345.77	277.06	288.13	235.51	167.84	226.36	413.68	397.9	320.22
ENSMUSG00000020719	10413.87	8711.35	9205.12	10168.68	7534.39	7877.66	13369.83	12399.77	11877.9
ENSMUSG00000020720	3127.77	3307.9	3688.35	3506.27	3243.68	3442.64	3834.88	4296.29	4240.03
ENSMUSG00000020721	1104.74	766.14	764.83	718.44	804.5	902.37	1105.36	760.2	651.81
ENSMUSG00000020728	11.64	3.38	5.48	9.34	5.6	17.16	5.05	4.78	1.57
ENSMUSG00000020732	4375.43	5016.5	4293.73	4476.58	4353.22	4096.26	3992.61	4229.27	4416.04
ENSMUSG00000020733	8065.1	8949.67	9419.32	7581.02	7825.94	8720.07	9201.69	9938.06	9950.3
ENSMUSG00000020734	-0.08	2.92	0.67	2.27	4.87	0.67	4.52	-0.02	2.09
ENSMUSG00000020736	4388.91	5032.32	4773.04	4973.45	5683.24	5317.97	5207.3	5987.28	5951.92
ENSMUSG00000020737	8651.82	10389.09	11709.89	8800.65	9121.8	9279.01	10681.97	11512.79	11363.26
ENSMUSG00000020738	72.2	66.89	70.19	60.34	51.53	57.4	73.05	67.03	74.1
ENSMUSG00000020739	2140.34	2139.71	2181.38	2483.03	2368.66	2197.07	2226.91	2200.09	2192.17
ENSMUSG00000020740	1222.32	1225.06	1122.09	1200.69	966.85	1019.86	899.72	868.53	836.7
ENSMUSG00000020741	626.99	594.46	532.7	622.66	666.02	725.13	672.42	555.38	514.89
ENSMUSG00000020743	4566.94	4632.18	5135.06	6153.53	5740.95	6101.58	7046.73	7314.41	7356.3
ENSMUSG00000020744	1670.54	1825.99	1930.16	1926.25	1771.55	1893.19	2240.61	2352.78	2362.51
ENSMUSG00000020745	1851.77	2062.97	2229.9	1871.33	1798.72	1715.35	2226.27	2365.31	2417.12
ENSMUSG00000020747	999.75	871.34	759.54	716	617.98	784.03	671.87	712.03	719.8
ENSMUSG00000020752	409.16	379.93	295.83	357.12	292.58	276.46	324.35	301.77	314.98
ENSMUSG00000020755	1817.99	1833.35	1844.36	1749.01	2041.96	1900.97	1784.35	1754.26	1919.5
ENSMUSG00000020758	13.22	6.06	5.3	46.81	85.56	69.49	6.76	3.08	2.28
ENSMUSG00000020766	538.24	626.46	692.62	695.1	816.39	783.55	621.03	751.27	661.24
ENSMUSG00000020770	991.14	784.92	640.81	725.04	594.3	580.45	735.17	748.31	667.25
ENSMUSG00000020773	54.14	59.97	50.86	252.66	323.24	320.42	37.61	16.78	31.78
ENSMUSG00000020774	3.71	1.03	8.09	11.48	16.31	16.47	1.58	1.03	1.88
ENSMUSG00000020775	1306.98	1353.25	1409.96	1275.6	1449.72	1288.73	1253.9	1324.61	1225.81
ENSMUSG00000020776	243.3	148.64	91.78	133.72	94.32	178.88	112.31	112.93	80.42
ENSMUSG00000020777	738.66	753.27	809.86	989.85	1027.73	1094.87	631.89	671.13	776.43
ENSMUSG00000020778	1038.59	1214.88	1231.41	1173.05	1294.98	1300.68	1279.18	1477.87	1443.57
ENSMUSG00000020780	3082.72	2935.62	3100.72	3124.68	2877	3186.1	3139.55	3332.81	3156.68
ENSMUSG00000020781	1079.37	1011.74	1199.62	1195.54	1058.2	1034.27	1051.62	1098.89	1162.15
ENSMUSG00000020782	693.5	693.57	589.56	683.21	566.3	535.99	577.88	559.51	621.6
ENSMUSG00000020783	1154.94	1187.1	969.13	1190.31	920.29	913.11	1226.18	1165.62	1118.01
ENSMUSG00000020785	316.12	256.97	322.1	269.61	282.81	261.87	141.27	141.5	158.2
ENSMUSG00000020787	7.44	20.36	5.42	39.63	46.83	34.17	2.9	1.78	3.29
ENSMUSG00000020788	9765.47	10023.38	9514.83	8568.28	8968.96	9902.53	10529.08	8125.56	8774.16
ENSMUSG00000020790	1176.06	1058.44	1019.16	898.81	944.57	1156.51	1279.68	911.73	942.58
ENSMUSG00000020792	2576.36	2403.25	2485.27	2679.72	2725.5	2895.07	2618.77	2698.92	2716.35
ENSMUSG00000020794	3685.97	4260.3	4954.3	3912.49	4255.49	4005.24	4508.99	4971.77	4775.73
ENSMUSG00000020798	26.97	7.52	19.1	16.11	18.72	24.27	1.58	8.61	0.84
ENSMUSG00000020799	5.88	3.05	3	69.99	106.94	80.84	5.17	0.87	3
ENSMUSG00000020801	418.64	362.67	373.38	373.56	448.05	430.96	339.19	393.71	384.66
ENSMUSG00000020802	392.57	377	295.37	369.83	310.81	431.51	273.34	316.77	317.63
