ID	WT_r1	WT_r2	WT_r3	KO_r1	KO_r2	KO_r3	KO_rescue_r1	KO_rescue_r2	KO_rescue_r3
ENSMUSG00000000001	8450.22	8954.44	9664.65	9390.42	10359.26	9578.52	9577.01	10541.1	11631.48
ENSMUSG00000000028	151.26	160.52	172.05	181.77	133.44	150.25	244.1	198.72	255.64
ENSMUSG00000000037	4.62	0.91	0.28	0.01	0.2	2.43	0.01	6.32	1.7
ENSMUSG00000000049	2.77	1.81	0.37	2.65	3.52	2.13	0.25	3.82	2.7
ENSMUSG00000000056	1054.35	1102.87	1114.28	984.55	951.2	938.91	1075.28	959.04	1039.35
ENSMUSG00000000058	667.81	747.65	1051.36	2285.53	3103.71	2432.06	277.27	188.81	163.45
ENSMUSG00000000078	16322.32	15804.85	19812.5	20166.58	18656.55	19417.27	22722.03	23091.3	22502.14
ENSMUSG00000000085	263.97	267.24	302.53	384.05	377.6	422.62	316.14	366.4	372.85
ENSMUSG00000000088	2479.03	2902.58	3062.25	3071.85	3580.7	3479.25	2972.8	3382.69	3395.04
ENSMUSG00000000093	143.69	130.61	142.4	506.47	655.71	681.76	39.7	18.51	14.82
ENSMUSG00000000094	26.94	16.25	29.29	106.43	95.05	103.07	0.88	5.57	2.47
ENSMUSG00000000125	165.29	243.1	133.55	39.37	40.45	59.94	125.64	106.69	113.09
ENSMUSG00000000126	0.06	6.19	0	15.78	1.57	21.01	0.06	1.57	0
ENSMUSG00000000127	31.85	36.7	39.47	147.93	137.19	139.23	45.02	29.73	43.83
ENSMUSG00000000131	3261.78	3325.68	2836.14	2898.81	2781.5	3235.51	3893.63	3362.47	3515.28
ENSMUSG00000000134	1228.82	1457.78	1216.18	1378.47	1172.27	1242.42	1258.24	1353.56	1482.86
ENSMUSG00000000142	230.57	191.93	176.41	264.44	204.76	261.1	240.05	285.66	306.1
ENSMUSG00000000148	1001.98	1002.37	987.23	807.19	900.39	912.7	770.35	758.3	830.78
ENSMUSG00000000149	987.87	1012.48	1039.71	1107.97	1171.25	1193.16	785.7	752.97	821.92
ENSMUSG00000000154	7.16	8.26	5.19	33.31	57.43	67.25	7.16	3.75	2.92
ENSMUSG00000000159	2.47	8.19	0.74	29.83	27.39	34.96	1.82	1.86	5.37
ENSMUSG00000000167	8.9	7.27	20	38.74	45.4	31.93	7.26	11.71	4.6
ENSMUSG00000000168	2209.46	2258.03	2549.54	2498.1	2660.18	2512.15	2245.73	2345.12	2696.86
ENSMUSG00000000171	4649.32	5883.26	6061.75	5564.8	6995.04	6667.55	5885.07	6813.49	6890.17
ENSMUSG00000000182	6.15	0.81	2.42	0.19	0.81	0.19	0.63	0.81	0.19
ENSMUSG00000000184	19663.47	21347.09	26555.23	27367.75	29050.28	30508	24177.47	23104.65	21164.22
ENSMUSG00000000194	1477.34	1618.19	1452.48	1428.44	1611.09	1592.37	1498.68	1351.91	1589.82
ENSMUSG00000000197	2.07	2.96	0.22	-0.02	1.02	0.22	0.72	0.05	0.22
ENSMUSG00000000202	5.1	3.89	7.01	16.49	21.72	8.7	6.82	8.21	12.75
ENSMUSG00000000204	5.89	3.79	3.76	42.44	10.26	3.76	0.65	4.2	3.76
ENSMUSG00000000216	33.95	17.87	30.76	83.72	101.12	29.4	-2.54	1.92	8.85
ENSMUSG00000000244	7542.82	9179.39	8025.1	9766.17	12546.56	10804.15	9163.78	9282.28	9418.93
ENSMUSG00000000247	2.21	1.21	3.42	8.7	1.21	11.97	1.62	5.12	0.03
ENSMUSG00000000253	36.34	17.69	25.35	111.23	205.01	272.74	28.27	9.31	5.35
ENSMUSG00000000266	16.61	26.54	6.69	63.33	71.1	88.77	5.19	10.78	13.82
ENSMUSG00000000275	549.5	589.45	501.1	544.78	453.58	547.17	607.4	559.49	601.23
ENSMUSG00000000276	397.21	361.31	270.41	331.05	275.34	276.08	296.01	279.17	279.88
ENSMUSG00000000278	845.62	932.84	978.1	864.23	1152.8	1076.3	734.31	749.65	754.39
ENSMUSG00000000282	242.32	267.3	236.82	237.86	190.59	268.37	179.21	186.23	178.84
ENSMUSG00000000290	22912.72	23305.66	26185.11	19871.29	19538.75	20369.82	19756.4	19004.31	20075.64
ENSMUSG00000000295	825.98	871.46	865.14	880.77	824.08	725.26	1017.11	1085.26	1145.27
ENSMUSG00000000296	1.21	-0.01	3.59	2.36	7.1	0.26	0.45	-0.01	0.26
ENSMUSG00000000301	15.39	18.98	25.02	17.81	19.75	21.32	20.14	26.29	11.17
ENSMUSG00000000303	424.69	321.54	443.03	785.47	1033.57	884.17	143.06	110.47	111.19
ENSMUSG00000000305	3.25	1.39	0.87	11.06	18.94	13.55	1.11	0.99	0.87
ENSMUSG00000000308	5.85	4.26	25.39	59.52	66.21	42.4	8.06	12.46	16.41
ENSMUSG00000000317	31.28	32.01	32.04	50.57	85.92	85.46	14.14	3.62	7.47
ENSMUSG00000000318	0.25	0.44	1.96	33.23	37.93	22.68	0.92	0.44	1.96
ENSMUSG00000000320	62.17	71.83	101.37	122.1	296.38	283.41	48.55	31.79	14.67
ENSMUSG00000000325	106.3	79.39	69.03	101.91	64.54	128.57	39.71	52.2	59.17
ENSMUSG00000000326	1578.16	1503.34	1630.57	1866.37	2200.45	2266.85	1521.46	1498.24	1441.3
ENSMUSG00000000339	797.54	906.93	932.22	972.66	969.75	1022.97	776.67	828.65	795.55
ENSMUSG00000000340	416.9	347.66	365.97	421.92	389.08	457.29	341.11	374.66	414.73
ENSMUSG00000000346	23968.36	30001.22	32388.06	26355.04	30647.3	28871.92	30622.9	34191.97	34327.47
ENSMUSG00000000355	2010.06	2024.5	2231.91	1827.19	2085.01	1723.38	2361.26	2879.58	2504.58
ENSMUSG00000000359	12.64	13.69	6.77	48.51	72.03	92.49	9.14	3.79	3.66
ENSMUSG00000000365	12.08	7.58	13.01	10.27	13.83	2.78	6.04	14.96	10.83
ENSMUSG00000000374	413.24	300.52	410.33	475.96	451.71	499.34	429.7	394.79	338.95
ENSMUSG00000000378	6800.2	8332.79	8034.78	6587.08	6377.79	6739.53	8011.16	8691.86	8700.73
ENSMUSG00000000384	212.42	224.44	199.06	232.73	158.86	181.83	179.14	214.3	243.91
ENSMUSG00000000385	13.4	8.65	8.73	85.98	108.9	68.76	1.54	1.36	5.46
ENSMUSG00000000386	243.88	77.83	62.69	-1.02	41.49	33.37	84.92	51.48	47.28
ENSMUSG00000000392	-0.23	0.96	0.59	5.49	0.96	0.59	0.85	0.96	2
ENSMUSG00000000394	21.88	6.71	14.14	2.33	4.35	8.63	118.49	99.66	88.41
ENSMUSG00000000399	4424.93	5517.47	5997.04	5342.13	6296.29	5878.3	5361.69	6108.17	6018.47
ENSMUSG00000000402	12.84	13.27	4.73	61.82	115.86	117.24	11.37	0.31	1.92
ENSMUSG00000000409	44952.32	52038.08	54107.99	32419.94	29650.36	30233.89	47529.71	46790.98	45770.35
ENSMUSG00000000420	5453.51	5698.69	6079.69	6641	7985.04	6796.27	7522.33	6800.44	7519
ENSMUSG00000000439	1082.7	1125.4	1148.18	1057.22	1103.02	1018.64	921.82	915	1003.65
ENSMUSG00000000440	698.49	538.32	615.49	5276.69	5205.7	5165.08	4624.16	5407.37	6055.15
ENSMUSG00000000441	5143.36	5414.64	4991.29	4629.56	4247.36	4399.83	4668.61	4359.72	4764.64
ENSMUSG00000000486	8739.25	11318.29	10807.15	9380.6	8390.8	8407.82	7990.73	10239.34	11113.41
ENSMUSG00000000489	160.64	185.29	216.87	177.92	174.55	147.22	41.16	41.04	21.47
ENSMUSG00000000530	475.5	427.68	492.63	1468.44	2069.44	2225.65	198.8	121.92	85.54
ENSMUSG00000000531	357.59	325.57	351.76	484.88	387.57	392.24	526.05	549.15	579.08
ENSMUSG00000000532	23.37	14.08	41.38	43.92	41.61	38.92	38.91	29.43	26.24
ENSMUSG00000000538	375.77	345.95	248.11	430.88	366.15	421.21	314.13	314.97	271.5
ENSMUSG00000000552	7.54	4.02	3.37	40.08	71.66	62.05	10.9	7.1	10
ENSMUSG00000000555	93.13	78.02	53.52	296.4	269.01	304.63	30.72	40.68	47.76
ENSMUSG00000000561	1148.82	1409.55	1295.43	1138.4	1368.15	1416.61	1274.37	1339.76	1430.41
ENSMUSG00000000563	4293.71	5027	5092.55	4349.9	5057.19	4711.26	4968.3	5809.96	5694.8
ENSMUSG00000000567	0.68	0.5	1.13	3.37	7.5	1.13	3.69	2.63	1.13
ENSMUSG00000000568	5519.58	6108.1	5891.57	5258.48	5255.05	4968.37	6338.91	6515.01	6365.48
ENSMUSG00000000581	1704.89	1680.55	1913.57	1640.14	1794.48	1666.95	2070.29	2496.43	2350.37
ENSMUSG00000000594	12045.67	15428.06	14186.13	22004.05	29324.31	25391.33	22144.81	22726.61	26333.05
ENSMUSG00000000600	1325.41	1046.64	972.29	1140.67	993.65	1100.87	1343.65	1015.36	945.04
ENSMUSG00000000605	3632.99	4071.24	4383.57	4379.83	4288.78	4551.46	4219.42	4066.02	4186.51
ENSMUSG00000000617	8.94	4.78	2.04	0.52	3.01	0.93	1.08	2.03	3.69
ENSMUSG00000000627	892.9	1018.48	991.64	1215.66	1173	1378.87	1189.04	1072.27	1091.64
ENSMUSG00000000628	80.79	70.65	50.18	187.37	185.35	200.26	140.69	171.48	172.78
ENSMUSG00000000631	1293.58	1077.26	944.92	1023.28	1065.85	1274.79	1185.51	1009.29	1005.99
ENSMUSG00000000673	19.59	29.81	18.31	87.05	78.64	101.61	15.88	29.98	15.48
ENSMUSG00000000682	34189.04	38039.64	40559.55	34923.75	40831.73	38594.8	34086.67	42289.48	41446.42
ENSMUSG00000000686	361.2	341.41	456.68	537.95	648.28	604.54	282.07	195.94	222.95
ENSMUSG00000000690	1.68	0.35	2.92	6.52	12.11	11	1.72	0.35	-0.01
ENSMUSG00000000693	2.84	8.22	2.57	27.09	20.59	25.36	3.08	1.43	1.6
ENSMUSG00000000708	428.16	362.15	354.07	418.17	392.43	440.78	573.47	459.6	486.46
ENSMUSG00000000711	403.76	494.61	405.9	473.38	531.61	476.46	271.66	318.11	418.61
ENSMUSG00000000731	2.97	0.92	0.47	3.22	0.92	0.47	1.01	0.92	3.88
ENSMUSG00000000732	461.61	388.49	361.89	3186.26	2974.34	2747.65	1523.59	1880.34	2481.74
ENSMUSG00000000738	2370.6	2351.18	2360.05	2693.17	2441.63	2498.82	2771.5	2830.7	2886.69
ENSMUSG00000000739	1.52	0.74	4.57	3.59	0.74	1.78	-0.36	0.74	0.11
ENSMUSG00000000740	662.02	827.54	597.84	664.55	702.05	615.1	773.42	939.25	905.81
ENSMUSG00000000743	4845.4	6021.34	5665.15	5545.17	5516.83	5285.19	5365.36	5466.07	5727.13
ENSMUSG00000000751	6954.33	8412.74	8662.21	5804.12	5943.45	5818.62	8665.74	8257.52	9167.22
ENSMUSG00000000753	69.77	78.9	74.93	92.73	122.38	110.4	37.85	41.92	40.18
ENSMUSG00000000759	1106.48	763.18	720.32	860.27	685.95	734.26	943.93	783.63	706
ENSMUSG00000000766	4.24	7.86	7.28	1.17	3.81	1.07	5.75	1.76	6.45
ENSMUSG00000000776	666.65	672.71	636.6	809.7	607.08	761.7	686	809.24	703.69
ENSMUSG00000000782	36354.19	36409.96	32462.45	15326.45	14492.22	14635.82	34010.12	37691.98	39237.29
ENSMUSG00000000787	2855.44	2520.97	2228.95	2274.24	2663.79	2571.96	2817.92	2517.72	2750.14
ENSMUSG00000000791	1378.44	1578.65	1580.93	1469.76	1422.07	1433.53	1567.92	1421.74	1524.68
ENSMUSG00000000794	5.24	0.4	0.32	16.13	35.12	41.38	3.74	1.55	0.32
ENSMUSG00000000804	209	161.57	156.57	179.3	176.08	187.18	252.5	207.44	179.65
ENSMUSG00000000805	403.64	371.27	318.65	1494.28	2379.73	2203.22	170.94	38.43	49.34
ENSMUSG00000000811	66.25	49.51	52.53	71.2	112.36	111.46	56.03	65.23	37.82
ENSMUSG00000000817	2924.95	2783.93	2893.16	1221.91	840.1	921.97	2067.21	2497.12	2576.52
ENSMUSG00000000823	388.25	293.74	215.5	398.99	260.3	305.48	257.81	239.61	196.99
ENSMUSG00000000826	3273.82	2598.03	2352.94	2994.74	2692.84	2743.1	2534.44	2695.27	2701.38
ENSMUSG00000000827	1709.72	1686.61	1923.33	1826.38	1920.33	1725.03	1951.09	2156.74	2049.34
ENSMUSG00000000838	1116.16	886.19	924.44	880.72	972.29	791.52	1306.97	925.91	908.15
ENSMUSG00000000861	2.08	8.26	7.73	41.57	38.55	59.47	16.05	3.09	1.55
ENSMUSG00000000869	179.44	167.81	209.41	819	695.93	682.8	913.08	1095.79	1218.78
ENSMUSG00000000876	803.35	1002.14	1024.51	1023.95	1064.67	1072.33	1065.46	1173.94	1084.97
ENSMUSG00000000881	283.9	250.79	250.07	260.28	177.54	225.12	157.01	165.67	153.46
ENSMUSG00000000884	445.26	490.23	513.78	454.68	490.39	471.64	498.18	498.78	520.12
ENSMUSG00000000889	0.55	0.07	0.19	0.55	0.07	0.19	0.55	0.07	0.19
ENSMUSG00000000901	61.51	54.22	62.52	124.98	130.2	108.33	14.58	18.94	21.48
ENSMUSG00000000902	3099.34	3282.45	3713.48	3367.59	3847.55	3783.11	3440.76	3584.68	3685.88
ENSMUSG00000000903	16.6	18.26	21.31	90.56	126.11	111.79	12	9.01	7.07
ENSMUSG00000000915	1272.31	919.85	935.03	745.03	769.41	779.28	1264.26	1070.63	947.51
ENSMUSG00000000916	842.46	810.63	902.37	1011.11	792.78	810.62	918.16	924.33	1029.26
ENSMUSG00000000934	218.18	253.21	213.02	255.78	228.74	215.74	237.95	290.51	311.56
ENSMUSG00000000942	1.49	1.06	2.11	9.53	11.81	12.65	0.8	0.26	0.21
ENSMUSG00000000948	17.6	15.33	28.08	55.24	56.15	63.71	10.25	14.51	8.42
ENSMUSG00000000957	230.87	161.86	261.16	309.98	286.14	258.87	196.86	212.96	223.77
ENSMUSG00000000958	35.62	24.03	24.42	115.52	168.39	156.48	31.42	22.27	21.79
ENSMUSG00000000959	708.7	721.58	765.48	594.25	583.88	578.28	795.95	802.74	756.68
ENSMUSG00000000976	993.88	835.26	993.69	999.94	917.57	900.07	1056.4	993.07	961.07
ENSMUSG00000000982	158.22	183.64	85.37	201.94	236.64	234.14	27.07	31.21	41.98
ENSMUSG00000000983	0.07	0.24	0.01	0.83	2.46	2.86	3.26	0.24	1.26
ENSMUSG00000001016	2880.73	3195.66	3142.26	2909.44	3426.65	3480.83	3344.32	3848.31	3465.4
ENSMUSG00000001017	4062.58	3744.79	3943.09	3618.63	3637.45	3498.19	4169.65	4141.3	4093.41
ENSMUSG00000001018	2206.83	2315.62	2374.52	2435.37	2624.35	2630.9	2281.05	2648.55	2405.49
ENSMUSG00000001020	5110.59	5043.54	5580.15	6929.78	9430.77	8990.13	6142.67	7922.48	8511.81
ENSMUSG00000001021	40.72	46.28	54.32	42.36	36.29	59.43	44.56	55.08	38.51
ENSMUSG00000001023	7.13	7.54	5.2	0.68	0.94	0.91	6.91	4.12	7.55
ENSMUSG00000001025	9800.14	11487.61	10901.41	13592.82	16741.47	14993.21	11874.63	14447.2	15074.31
ENSMUSG00000001027	2.14	0.75	4.43	14.13	13.96	8.36	0.32	0.75	4.11
ENSMUSG00000001029	2109.76	2438.32	2219.32	2218.68	2902.51	2586.31	2515.99	3075.13	3096.68
ENSMUSG00000001034	800.01	839.02	844.98	1203.25	1018.05	1053.07	757.6	726.45	692.44
ENSMUSG00000001036	62.71	41.95	43.73	187.99	210.68	226.94	40.87	31.6	34.37
ENSMUSG00000001039	35.71	40.94	45.91	64.5	88.99	47.38	16.44	7.72	10.83
ENSMUSG00000001052	1579.44	1327.75	1407.21	1327.7	1194.99	1392.81	1631.5	1435.46	1440.84
ENSMUSG00000001053	475.44	596.49	525.45	496.89	572.18	566.8	339.84	294.28	319.76
ENSMUSG00000001054	2571.14	3078.82	3127.9	3158.42	2842.4	3152.2	2938.24	3063.39	2903.56
ENSMUSG00000001056	1506.65	2046.78	1791.61	1636.03	2032.01	2121.14	1950	2160.71	2117.27
ENSMUSG00000001062	623.09	476.67	402.46	573.23	403.76	560.93	461.48	456.54	412.01
ENSMUSG00000001065	815.28	604.54	547.37	724.89	520.19	615.51	598.86	536.93	498.58
ENSMUSG00000001082	1298.29	1293.86	1386.98	1996.9	2053.4	2053.19	1522.84	1600.12	1638.17
ENSMUSG00000001089	225.05	201.13	187.21	235.89	270.91	325.46	252.61	155.44	147.88
ENSMUSG00000001098	2638.18	3381.14	3543.77	3347.72	3481.98	3213.67	2696.02	2643.17	2962.45
ENSMUSG00000001100	1110.84	1115.68	1030.97	1078.41	1215.15	1152.47	1102.93	1161.78	1137
ENSMUSG00000001105	1559.61	1655.19	1565.9	1753.22	1878.71	1705.63	1628.59	1729.85	1683.4
ENSMUSG00000001119	14.96	25.8	18.11	251.65	221.84	189.14	3.84	7.61	22.75
ENSMUSG00000001120	521.29	616.26	581.75	622.43	677.85	769.71	590.59	567	614.3
ENSMUSG00000001123	8476.21	10231.82	11509.26	10771.08	12305.88	11736.73	12035.72	12936.33	13410.95
ENSMUSG00000001127	4064.88	3914.15	4064.82	4385.48	3959.03	4178.93	4410.81	4466.97	4410.21
ENSMUSG00000001128	148.6	93.35	76.98	582.68	1123.17	934.27	176.08	207.73	139
ENSMUSG00000001131	6.02	8.94	7.7	16.19	18.55	6.27	1.09	2.34	3.4
ENSMUSG00000001134	116.54	122.75	105.88	117.75	119.18	117.82	133.7	139.06	140.57
ENSMUSG00000001138	1008.08	1082.42	1159.47	1104.14	1132.09	1180.89	1004.04	842.74	939.49
ENSMUSG00000001143	953.53	1064.43	1051.97	1090.83	1117.15	1004.96	846.54	786.7	873.48
ENSMUSG00000001150	760.96	581.38	485.92	480.21	471.67	592.2	672.35	577.4	570.62
ENSMUSG00000001151	959	799.49	753.16	842.29	660.29	944.5	1012.86	817.07	722.2
ENSMUSG00000001156	1590.51	1445.88	1814.31	1760.86	894.2	1322.79	1799.5	2000.12	1739.36
ENSMUSG00000001157	2277.72	2364.06	2763.99	2243.06	2225.62	2252.13	2452.73	2530.05	2532.56
ENSMUSG00000001158	1606.41	1758.92	1825.76	2024.45	1910.38	1816.44	1986	2106.99	1942.59
ENSMUSG00000001166	206.23	198.57	184.12	171.66	195.4	172.78	270.43	225.86	229.94
ENSMUSG00000001173	182.03	114.75	152.23	191.58	185.2	224.89	133.17	125.6	112.3
ENSMUSG00000001175	45631.03	57403.64	58706.82	54170.08	60254.57	58189.3	55178.74	64028.46	64577.7
ENSMUSG00000001211	3195.82	4184.42	3544.93	2540.48	2534.27	2414.58	3471.98	3409.64	3685.55
ENSMUSG00000001227	19.88	25.06	12.69	41.04	51.45	75.3	7	3.64	4.45
ENSMUSG00000001228	386.36	416.94	421.21	184.9	208.87	216.52	634.43	379.43	472.85
ENSMUSG00000001229	1865.86	1910.96	1902.05	2054.01	1546.95	1862.77	1781.44	1961.59	2068.42
ENSMUSG00000001240	338.79	317.44	370.98	1487.02	1677.06	1640.16	68.55	51.55	47.86
ENSMUSG00000001247	115.17	143.5	95.39	199.67	257.16	247.46	161.24	160.62	177.73
ENSMUSG00000001248	8067.13	5417.31	5362.7	4678.79	3499.57	3844.96	7821.84	7097.4	6607.33
ENSMUSG00000001249	14.08	25.04	13.52	87.69	52.33	68.09	56.2	63.96	39.04
ENSMUSG00000001270	1317.95	1432.28	1601.46	1162.9	1342.36	1168.47	301.31	351.66	307.86
ENSMUSG00000001280	493.67	517.15	550.24	526.89	510.4	707.66	714.9	584.65	464.66
ENSMUSG00000001281	34608.77	40341.05	37148.51	49183.71	52988.95	52355.72	58429.4	63193.13	68787.92
ENSMUSG00000001285	988.43	1184.49	1109.03	1035.46	1152.84	1189.57	1095.3	1097.72	1131.23
ENSMUSG00000001288	854.38	962.66	756.65	1191.36	1137.35	859.87	906.8	1305.56	1464.54
ENSMUSG00000001289	1851.51	2129.85	1886.52	1694.31	2217.09	1988.84	1972.09	2451.16	2369.26
ENSMUSG00000001300	111.64	86.34	49.03	161.35	163.89	202.76	7.57	15.71	22.29
ENSMUSG00000001305	989.14	1122.89	1014.92	1090.93	1279.98	1314.85	1375.28	1562.8	1478.52
ENSMUSG00000001313	19.83	44.5	26.48	88.72	79.98	77.34	9.06	8.23	11.44
ENSMUSG00000001323	177.43	174.28	194.09	178.78	228.52	185.3	205.53	147.61	165.07
ENSMUSG00000001333	2.33	0.34	0.3	3.87	6.06	9.76	2.48	1.58	0.3
ENSMUSG00000001334	2.27	3.84	1.75	2.99	2.11	2.59	1.01	2.28	0.79
ENSMUSG00000001348	5170.52	5894.93	5752.44	5326.07	5691.52	6155.75	5071.85	5481.71	5204.46
ENSMUSG00000001349	11.05	8.24	9.8	137.7	111.81	91.77	-1.61	4.15	6.55
ENSMUSG00000001366	1725.24	1576.76	1561.4	2153.25	1476.41	1685.86	1818.84	1917.17	1870.13
ENSMUSG00000001376	521.19	504.25	501.41	582.92	560.46	425.07	575.14	528.25	562.17
ENSMUSG00000001379	518.01	393.53	288.69	463.11	287.46	297.28	288	319.75	314.09
ENSMUSG00000001380	2091	2336.52	2364.62	2373.23	2434.11	2395.87	2705.38	2786.98	2883.51
ENSMUSG00000001383	2063.86	2309.67	2142.16	2319.7	2375.32	2114.12	2298.11	2665.64	2499.87
ENSMUSG00000001403	112.15	140.94	177.81	126.23	133.62	127.91	404.08	242.91	258.74
ENSMUSG00000001415	964.53	726.95	674.66	663.62	522.02	551.52	850.13	724.86	551.76
ENSMUSG00000001416	7788.89	8211.34	9244.26	7530.84	8498.39	7933.54	9018.85	9869.76	10180.6
ENSMUSG00000001417	1.57	0.22	4.88	3.49	12.43	9.3	1.57	1.24	-0.18
ENSMUSG00000001418	5497.98	7110.56	7295.68	6593.7	7651.81	8021.6	6884.17	7396.03	7816.63
ENSMUSG00000001419	2293.66	2011.29	2101.56	1935.34	1758.64	1842.09	2073.7	2027.35	1997.4
ENSMUSG00000001420	4.34	4.76	8.48	11.8	15.55	15.82	8.43	5.37	2.22
ENSMUSG00000001424	3841.35	4533.79	4045.84	3921.74	4061.79	4369.11	4229.57	4159.49	4581.83
ENSMUSG00000001435	33.18	47.89	26.16	251.95	199.96	253.87	9.53	19.79	13.58
ENSMUSG00000001436	831.63	1058.03	1033.91	981.58	951.58	1257.94	1011.82	1040.47	1085.32
ENSMUSG00000001440	719.95	882.51	897.1	908.21	825.68	980.43	868.97	830.5	772.74
ENSMUSG00000001441	859.85	762.06	862.18	838.54	857.85	876.84	1131.41	983.53	1021.2
ENSMUSG00000001444	4144.49	4668.7	4749.69	1228.92	1060.43	1436.15	1645.28	1576.76	1371.06
ENSMUSG00000001445	1553.93	1936.12	1903.23	1679.01	1834.66	1782.03	1912.33	2181.59	2178.41
ENSMUSG00000001467	1456.09	1675.89	1650.56	1347.53	1575.1	1332.11	1958.91	1930.53	2159.47
ENSMUSG00000001472	6194.95	5599.24	5858.98	5915.98	5715.6	5973.7	6209.62	6488.23	6562.67
ENSMUSG00000001473	216.93	194.91	233.05	399.99	483.83	552.92	91.78	60.29	76.38
ENSMUSG00000001482	428.29	433.96	449.17	543.96	536.21	511.01	448.12	463.66	524.98
ENSMUSG00000001493	20.89	37.32	48.47	81.27	116.91	120.3	13.08	3.51	1.58
ENSMUSG00000001494	-0.13	0.04	0.41	4.91	4.24	1.5	-0.13	0.04	0.41
ENSMUSG00000001496	14.94	8.87	22.38	101.51	144.59	79.62	4.08	1.8	5.73
ENSMUSG00000001497	5.84	20.01	6.74	9.41	1.65	7.43	4.85	4.71	3.93
ENSMUSG00000001506	30.83	36.08	38.83	252.35	282.1	217.25	23.51	20.43	31.43
ENSMUSG00000001507	179.9	191.01	189.47	458.5	554.53	473.08	150.76	114.56	145.91
ENSMUSG00000001508	0.26	0.45	0.24	7.11	2.87	4.3	-0.27	0.45	0.24
ENSMUSG00000001517	73.82	62.75	85.34	45.95	33.34	57.08	108.1	46.63	60.56
ENSMUSG00000001518	524.87	617.94	503.47	618.19	438.36	456.08	534.37	575.21	655.64
ENSMUSG00000001520	7.67	14.14	14.91	13.79	9.59	7.18	16.19	9.14	7.42
ENSMUSG00000001521	20.2	13.31	13.23	19.04	21.02	27.88	16.2	11.41	9.8
ENSMUSG00000001524	495.24	624.15	471.68	667.51	555.93	746.58	520.13	700.82	634.77
ENSMUSG00000001525	2515.52	2815.4	2511.28	2189.59	2564.74	2840.35	2933.78	3110.47	3106.11
ENSMUSG00000001542	795.03	748.1	827.82	1010.34	886.15	974.11	1055.98	1039.23	1038.01
ENSMUSG00000001552	408.07	481.28	530.87	1616.22	1994.52	2140.08	216.62	129.79	207.39
ENSMUSG00000001555	16.03	19.71	12.06	65.71	53.01	77.05	3.25	4.9	6.48
ENSMUSG00000001558	3.25	8.18	9	5.46	6.88	2.56	5.65	3.07	4.22
ENSMUSG00000001569	1113.22	1064.71	1154.49	1130.91	1168.15	971.83	1321.54	1152.65	1263.01
ENSMUSG00000001576	1192.14	1437.98	2110.55	1534.31	2065.13	2029.92	1373.07	1350.77	1350.55
ENSMUSG00000001583	1.51	1.08	4.42	3.61	1.08	9.21	0.76	1.08	-0.22
ENSMUSG00000001588	13042.76	10670.25	10897.7	14081.48	10566.88	10881.93	11492.84	12179.81	11798.9
ENSMUSG00000001604	16.71	17.29	19.58	96.21	107.34	89.16	12.15	6.57	15.78
ENSMUSG00000001627	3098.63	2166.35	2494.3	3011.44	1829.14	2080.67	4473.4	4349.46	3717.27
ENSMUSG00000001630	231.97	213.8	250.85	256.98	265.61	229.6	213.48	167.41	193.04
ENSMUSG00000001632	1362.7	1053.39	780.27	1036.97	877.37	1073.35	1187.94	855.93	961.55
ENSMUSG00000001642	1024.8	1111.89	1210.73	1034.46	1078.39	1105.17	1263.86	1395.38	1334.5
ENSMUSG00000001663	35.28	28.07	51.77	146.7	211.85	170.09	21.22	10.65	11.13
ENSMUSG00000001665	149.74	200.13	201.36	162.15	185.74	230.59	126.84	120.37	107.38
ENSMUSG00000001666	191.51	205.7	198.9	159.79	198.35	174.83	194.75	237.39	181.5
ENSMUSG00000001670	0.14	0.39	1.27	20.33	16.54	9.75	-0.43	0.39	1.27
ENSMUSG00000001672	7.1	0.33	2.38	4.91	18.94	13.92	1.11	0.33	0.3
ENSMUSG00000001674	669.01	682.78	616.09	606.79	612.03	606.94	682.55	792.89	850.62
ENSMUSG00000001687	8835.83	9750.35	11393.59	8942.28	8870.71	9331.93	10884.69	11405.15	11752.26
ENSMUSG00000001700	6109.99	5954.8	5333.35	1120.49	1061.72	1231.27	5160.96	5208.94	4436.66
ENSMUSG00000001707	1355.47	1497.92	1739.34	1421.86	1648.16	1550.17	1748.67	2228.5	2038.64
ENSMUSG00000001729	5884.38	7181.86	6713.95	8002.55	7708.39	8208.02	6881.75	6561.44	7222.21
ENSMUSG00000001739	4.7	4.78	4.66	125.54	91.7	82.73	-2.08	4.78	10.01
ENSMUSG00000001741	6442.51	6697.33	6314.76	3928.94	4000.19	4320.39	5621.37	6063.43	6151.25
ENSMUSG00000001750	1646.17	1346	1408.82	1738.23	1379.36	1509.69	1307.57	1229.1	1166.38
ENSMUSG00000001751	680.99	757.47	727.08	824.6	1162.86	1076.59	688.43	700.59	844.56
ENSMUSG00000001755	791.4	807.04	683.16	848.72	936.08	856.14	718.7	806.28	766.23
ENSMUSG00000001761	13.34	11.49	5.79	69.22	72.89	79.38	16.04	18.54	28.31
ENSMUSG00000001763	11.53	25.54	19.13	63.86	77.67	86.55	26.14	3.57	6.7
ENSMUSG00000001767	1776.82	1532.41	1728.05	1294.23	1518.52	1346.09	1534.57	1650.48	1700.16
ENSMUSG00000001768	116.59	66.81	99.01	293.78	284.27	321.33	17.62	31.23	35.91
