ID	LP_r1	LP_r2	LP_r3	ML_r1	ML_r2	ML_r3	MLN_r1	MLN_r2	MLN_r3
ENSMUSG00000028180	1525.35	1085.93	1418.92	1112.82	806.21	1271.81	738.94	775.29	1073.3
ENSMUSG00000028182	23.13	10.88	11.76	7.06	37.66	6.04	1.86	11.39	5.34
ENSMUSG00000028184	169.28	183.45	175.72	127.83	71.45	77.03	16.77	26.85	32.96
ENSMUSG00000028187	1410.65	1209.53	1596.72	1268.09	1824.83	1664.52	1177.83	952.63	944.15
ENSMUSG00000028186	1.85	0	0	5.49	0	224.3	0	5.69	0.89
ENSMUSG00000028189	409.78	450.07	334.15	174.1	131.31	161.62	95.05	142.37	133.61
ENSMUSG00000028188	80.48	81.62	96.16	67.44	59.86	77.79	64.3	181.42	101.54
ENSMUSG00000083764	3.7	3.11	1.38	3.14	1.93	3.02	4.66	1.63	2.67
ENSMUSG00000035429	8.33	17.1	22.14	7.06	0	2.27	0	0	0
ENSMUSG00000074781	2501.24	2292.35	2362.56	2285.23	2849.24	3204.44	3909.03	2707.4	2544.76
ENSMUSG00000069833	750.19	733.02	1050.18	2129.96	1624	2772.45	1499.32	3108.46	2445
ENSMUSG00000069830	962.01	702.71	882.07	116.85	82.07	42.29	13.98	211.52	182.6
ENSMUSG00000028238	0	0	0	5.49	17.38	0	0.93	48	0.89
ENSMUSG00000033862	282.13	417.43	417.86	343.49	318.62	339.1	334.53	345.75	248.51
ENSMUSG00000038762	2802.79	3330.08	3023.94	2616.96	2998.9	2071.59	2400.4	2089.12	1426.03
ENSMUSG00000033860	0	0	0	0.78	0	247.72	0	0	0
ENSMUSG00000069835	13.88	33.43	23.52	7.06	22.21	20.39	5.59	12.2	13.36
ENSMUSG00000028233	636.41	757.12	691.82	428.97	608.28	925.16	482.69	402.69	670.7
ENSMUSG00000028232	731.69	671.61	885.53	470.54	368.83	431.99	143.5	418.15	435.56
ENSMUSG00000028234	2219.11	2663.91	2045.02	2147.99	3262.48	4666.56	4489.56	1938.62	1711.94
ENSMUSG00000114974	0.93	0	0	0	0	0	0	0	0
ENSMUSG00000114972	2.78	1.55	1.38	0	0.97	0.76	1.86	0.81	0
ENSMUSG00000044534	0	0	0	15.68	0.97	1.51	0	10.58	0
ENSMUSG00000068120	1.85	0.78	5.53	1.57	0.97	8.31	0.93	0.81	0
ENSMUSG00000068129	9.25	8.55	21.45	299.57	345.66	282.46	213.39	57.76	90.85
ENSMUSG00000018209	3626.98	3240.69	4373.68	5011.2	4573.66	2597.99	7248.71	10781.6	10765.11
ENSMUSG00000044288	0	0	0	4.71	7.72	21.9	0.93	0	0
ENSMUSG00000044285	271.95	289.17	272.58	650.12	620.83	712.18	1899.07	537.74	590.54
ENSMUSG00000022962	1746.43	1883.47	1664.52	1366.12	1016.69	571.71	553.51	767.96	551.35
ENSMUSG00000006958	16.65	13.21	0.69	0	0	0.76	0	0	0
ENSMUSG00000087574	14.8	11.66	13.14	49.41	23.17	52.11	13.05	28.47	41.86
ENSMUSG00000087578	15.73	7	13.84	12.55	6.76	1.51	2.8	10.58	10.69
ENSMUSG00000058569	4414.16	4218.57	2863.44	2990.25	2600.14	3696.85	3194.32	1914.22	1599.71
ENSMUSG00000058567	20.35	41.98	47.74	31.37	4.83	17.37	9.32	14.64	13.36
ENSMUSG00000021583	3945.18	2863.68	3297.21	1550.41	998.35	835.28	1412.66	2243.69	2521.6
ENSMUSG00000073860	0	0	0	6.27	9.66	9.06	0	0	0
ENSMUSG00000073867	52.73	52.86	56.04	34.51	5.79	101.96	29.82	39.86	33.85
ENSMUSG00000021585	4269.86	3210.37	4549.4	2130.74	1360.41	1177.4	1609.27	2547.13	2748.73
ENSMUSG00000116536	17.58	12.44	15.22	13.33	20.28	29.45	21.43	13.83	11.58
ENSMUSG00000116534	22.2	10.88	5.53	54.9	65.66	39.27	12.11	19.52	92.63
ENSMUSG00000021589	8.33	5.44	31.13	1.57	16.41	22.66	9.32	11.39	46.32
ENSMUSG00000115350	1.85	3.11	0.69	1.57	0	2.27	3.73	0.81	1.78
ENSMUSG00000024163	1056.37	1026.08	1522.69	1250.84	861.24	940.26	1359.54	1452.14	1318.25
ENSMUSG00000020755	1164.59	1103.81	896.6	1333.97	1138.35	1298.24	1599.02	1073.85	1238.98
ENSMUSG00000030888	636.41	793.65	636.47	566.21	413.24	527.91	427.71	560.52	345.6
ENSMUSG00000086191	3.7	3.11	0.69	0	6.76	8.31	1.86	0.81	0
ENSMUSG00000086196	37	31.09	20.75	96.46	38.62	20.39	36.34	142.37	84.62
ENSMUSG00000030881	846.39	917.25	668.3	879.9	660.41	824.71	755.71	569.46	689.41
ENSMUSG00000026753	2302.36	1556.21	1847.16	1803.72	1297.66	1838.98	1283.13	1636.8	1548.94
ENSMUSG00000026750	970.34	1011.31	859.24	1003.81	1275.45	1568.61	2479.6	1179.61	1115.17
ENSMUSG00000030884	3063.64	3183.94	2395.77	3151.02	3123.45	3258.06	3865.23	3204.46	3288.5
ENSMUSG00000026754	143.38	162.46	221.38	348.2	258.76	358.73	227.37	569.46	526.41
ENSMUSG00000026755	1650.22	1823.62	1879.67	3198.07	2546.07	3866.02	4340.47	3251.64	2883.22
ENSMUSG00000020752	796.44	649.07	879.3	767.76	488.55	483.35	820.01	903.01	791.84
ENSMUSG00000059213	0	0.78	0	0	0	0.76	0	0	0
ENSMUSG00000075837	0	0	0	2.35	0	0	9.32	0	0
ENSMUSG00000020758	7.4	33.43	36.67	6.27	0	41.54	0	2.44	9.8
ENSMUSG00000086220	1.85	3.11	0	0	2.9	0.76	1.86	0	0
ENSMUSG00000086228	9.25	0	0	0.78	0.97	0	0	2.44	15.14
ENSMUSG00000086229	0	0.78	2.08	0.78	0.97	0	0	0.81	2.67
ENSMUSG00000081643	18.5	21.77	11.76	14.12	19.31	30.21	21.43	14.64	5.34
ENSMUSG00000081642	8.33	7.77	13.14	10.98	22.21	27.19	13.05	8.14	9.8
ENSMUSG00000081640	6.48	3.11	6.92	3.14	4.83	11.33	8.39	7.32	4.45
ENSMUSG00000081647	4.63	19.43	4.15	23.53	14.48	4.53	18.64	12.2	11.58
ENSMUSG00000081648	5.55	0	0.69	3.92	0	10.57	2.8	2.44	2.67
ENSMUSG00000004446	719.66	890.82	1040.5	1023.41	425.79	978.02	765.03	774.47	658.23
ENSMUSG00000085558	0	3.11	0	0	2.9	2.27	2.8	4.07	0
ENSMUSG00000098557	1144.24	1033.85	911.82	1145.75	2093.24	1977.19	845.17	687.43	780.26
ENSMUSG00000028937	2936.92	3530.63	2790.11	2609.9	3511.59	2271.73	2580.24	1739.31	1642.47
ENSMUSG00000089417	6.48	3.11	3.46	5.49	6.76	4.53	0	0.81	0.89
ENSMUSG00000010051	21.28	17.1	25.6	58.82	73.38	52.87	66.16	55.32	47.21
ENSMUSG00000085884	4.63	7.77	0.69	4.71	0	0	0	3.25	0
ENSMUSG00000085887	12.95	13.21	38.05	104.3	25.1	74.77	8.39	48.81	44.54
ENSMUSG00000085886	0	0	2.08	0	0	0	0	1.63	1.78
ENSMUSG00000085881	0	0	2.77	0	0	0	0	0	0
ENSMUSG00000085882	41.63	52.08	35.28	54.11	12.55	110.26	66.16	43.93	21.38
ENSMUSG00000029919	563.33	411.21	893.14	285.46	244.28	240.16	115.55	130.98	112.23
ENSMUSG00000029918	215.53	264.29	242.83	316.83	436.41	614.76	492.01	202.57	171.91
ENSMUSG00000029915	434.76	345.13	312.7	207.82	436.41	266.6	0.93	13.83	43.64
ENSMUSG00000029916	299.7	342.03	333.46	302.71	188.28	246.2	250.66	251.38	239.6
ENSMUSG00000029911	668.78	632.75	628.17	923.03	1026.35	1672.83	960.72	666.27	598.56
ENSMUSG00000029910	1225.64	1225.85	1108.29	1308.09	767.59	1815.57	807.9	648.38	623.5
ENSMUSG00000029913	7.4	34.98	1.38	3.14	13.52	0.76	0.93	4.88	7.13
ENSMUSG00000077549	1.85	0.78	3.46	0	0	0	0	0	0
ENSMUSG00000070527	0	5.44	0	4.71	0	6.8	0.93	6.51	22.27
ENSMUSG00000084686	3.7	11.66	3.46	2.35	3.86	12.84	1.86	0.81	7.13
ENSMUSG00000095105	3.7	3.89	0	21.17	68.55	6.04	3.73	16.27	0
ENSMUSG00000026848	1430.07	977.1	957.48	763.05	884.41	971.98	657.87	613.39	618.15
ENSMUSG00000043263	960.16	977.88	1250.12	2291.51	1884.69	1736.27	1270.09	3136.94	3099.67
ENSMUSG00000043262	616.06	438.41	421.32	296.44	225.93	168.42	32.61	120.4	178.14
ENSMUSG00000025027	1664.1	1679.81	2179.92	1757.45	2343.31	1697	1296.18	1844.25	1980.94
ENSMUSG00000035279	16.65	16.32	18.68	3.92	8.69	4.53	0.93	1.63	14.25
ENSMUSG00000035278	1543.85	1686.03	1584.27	2018.6	2609.79	2872.89	4769.11	2638.25	2330.99
ENSMUSG00000044533	6620.32	7701.01	5955.87	6461.23	8905.93	12838.89	9438.52	4729.81	4262.04
ENSMUSG00000034435	13.88	17.88	16.6	1.57	0	2.27	0.93	0.81	1.78
ENSMUSG00000050423	0	0	0	0	19.31	0	6.52	0	16.92
ENSMUSG00000034437	76.78	66.85	66.41	69.01	106.21	108.75	59.64	57.76	56.11
ENSMUSG00000034430	484.71	569.01	677.98	577.97	458.62	320.97	518.1	641.05	533.53
ENSMUSG00000034432	1528.12	1661.93	1524.08	1547.28	1981.24	1578.43	2009.96	1461.08	1456.31
ENSMUSG00000083488	0	1.55	0.69	1.57	0	3.02	0.93	0	0
ENSMUSG00000083483	2.78	4.66	3.46	2.35	2.9	11.33	2.8	3.25	3.56
ENSMUSG00000083482	1.85	2.33	0.69	6.27	15.45	12.08	17.7	6.51	11.58
ENSMUSG00000087903	0.93	3.89	0	0	0	0	0	4.07	1.78
ENSMUSG00000053914	3.7	3.89	2.08	15.68	8.69	5.29	34.48	30.91	22.27
ENSMUSG00000053916	1.85	1.55	5.53	8.63	1.93	5.29	5.59	4.88	9.8
ENSMUSG00000017723	2.78	0	6.23	0	1.93	0	0	0	0.89
ENSMUSG00000017721	509.68	460.18	705.66	505.04	600.55	598.14	421.19	410.83	380.33
ENSMUSG00000017720	4.63	0.78	2.77	0	0	3.02	0	0	0
ENSMUSG00000000126	0.93	0	1.38	0	2.9	1.51	2.8	1.63	0.89
ENSMUSG00000017724	5.55	7	11.07	9.41	2.9	0	2.8	10.58	8.02
ENSMUSG00000009356	0	3.11	0.69	10.98	83.03	66.46	223.64	90.3	47.21
ENSMUSG00000110899	4.63	7.77	6.92	10.98	12.55	18.88	5.59	13.02	1.78
ENSMUSG00000116922	0	0.78	1.38	18.82	59.86	29.45	95.98	57.76	30.28
ENSMUSG00000110898	6.48	4.66	2.77	8.63	23.17	5.29	0	0	0
ENSMUSG00000015474	24.05	19.43	22.14	322.32	495.31	337.59	436.1	99.25	105.1
ENSMUSG00000048782	0.93	0.78	13.14	0	0	2.27	0.93	0.81	0.89
ENSMUSG00000078816	52.73	41.98	18.68	63.52	33.79	76.28	31.68	53.69	60.57
ENSMUSG00000078817	0	0	0	0	4.83	21.9	0	0	0
ENSMUSG00000078815	0	6.22	6.23	11.76	29.93	28.7	73.61	30.91	30.28
ENSMUSG00000078812	25326.86	27869.61	23690.65	23137	25107.32	34811.53	24047.76	11962.02	11236.29
ENSMUSG00000078813	221.08	240.97	286.41	354.47	375.59	344.38	590.78	379.91	334.91
ENSMUSG00000078810	0	0	0	3.14	0	0	0	0	0
ENSMUSG00000099759	0	3.11	2.77	3.14	13.52	0	8.39	3.25	6.23
ENSMUSG00000110894	0.93	0.78	2.77	3.92	10.62	8.31	49.39	22.78	109.56
ENSMUSG00000048787	273.8	131.37	151.51	75.29	181.52	160.11	56.84	73.22	145.19
ENSMUSG00000099757	207.2	277.51	205.47	149.79	210.48	242.43	118.34	65.08	87.29
ENSMUSG00000027405	3333.75	3857.11	3553.87	3830.16	3940.28	4350.12	2488.92	2727.74	3049.79
ENSMUSG00000050295	7.4	16.32	4.15	17.25	6.76	27.19	150.96	106.57	74.82
ENSMUSG00000027404	7056	8428.59	7457.12	7500.33	9895.59	12211.3	8049.16	5323.68	4565.77
ENSMUSG00000093507	0.93	2.33	6.23	1.57	5.79	0	13.98	3.25	8.91
ENSMUSG00000050299	201.65	263.51	223.46	257.23	483.72	643.46	623.39	292.87	297.5
ENSMUSG00000027406	2617.79	2512.33	2082.38	2529.91	2560.55	2502.07	2918.49	2032.99	2363.05
ENSMUSG00000027401	0	1.55	0	3.92	2.9	0	0	6.51	0
ENSMUSG00000027400	0	0	0	0	0	0	0	0	0
ENSMUSG00000027403	4.63	0.78	0	0	0	0	0	0	0
ENSMUSG00000038299	1628.95	1283.37	1244.58	835.98	466.34	404.8	497.6	741.12	761.56
ENSMUSG00000041133	2836.09	2914.21	3059.22	2190.34	1831.59	2607.81	1707.11	1910.15	1826.84
ENSMUSG00000041132	3196.85	2970.95	3286.14	7210.95	6561.66	4907.48	19470.61	22992.55	24834.75
ENSMUSG00000041135	915.76	820.08	755.47	1090.07	1139.31	441.05	326.14	782.61	996.7
ENSMUSG00000016921	5032.07	5099.28	5365.75	4984.54	5970.76	6225.35	3252.09	3756.84	4602.29
ENSMUSG00000027408	12.95	12.44	2.08	26.66	6.76	8.31	6.52	103.32	8.91
ENSMUSG00000014402	2782.44	2629.71	2431.74	2248.37	2540.28	2510.38	2723.74	1694.56	1773.4
ENSMUSG00000058603	35.15	55.19	48.43	32.94	57.93	95.16	80.14	30.1	28.5
ENSMUSG00000064927	0	0.78	0.69	0.78	13.52	22.66	8.39	9.76	13.36
ENSMUSG00000064925	0	3.11	0.69	2.35	0	6.8	1.86	4.88	3.56
ENSMUSG00000055401	1237.67	1284.15	1097.92	1170.06	1602.76	1280.87	7018.55	1731.99	1761.82
ENSMUSG00000050439	26.83	12.44	26.29	2.35	0.97	0	0	3.25	0
ENSMUSG00000115553	0	1.55	0	0.78	3.86	4.53	0	2.44	5.34
ENSMUSG00000115555	0	2.33	4.15	7.84	0.97	9.06	0	8.14	1.78
ENSMUSG00000115554	0	0	0	1.57	7.72	0	0	5.69	8.91
ENSMUSG00000041278	1562.35	1378.98	1167.1	1465.72	1730.21	1687.18	2044.44	1202.38	945.04
ENSMUSG00000057054	13.88	21.77	35.28	29.02	14.48	18.13	183.57	68.34	28.5
ENSMUSG00000109165	0	2.33	0	0	0	9.06	1.86	0	0.89
ENSMUSG00000109167	0.93	3.11	2.77	0.78	0	0	0	0	3.56
ENSMUSG00000043415	169.28	247.97	174.34	563.07	622.76	422.17	908.54	1140.56	1187.32
ENSMUSG00000113861	0.93	3.89	2.77	3.14	2.9	0.76	1.86	2.44	5.34
ENSMUSG00000113865	0.93	0	2.08	1.57	0.97	4.53	1.86	1.63	3.56
ENSMUSG00000113864	13.88	0	4.84	0	0	1.51	0	0	16.92
ENSMUSG00000113869	0.93	3.11	4.15	0	0	0.76	0	0	0
ENSMUSG00000043284	861.19	884.6	698.05	859.51	1072.69	1297.48	1017.56	514.15	496.12
ENSMUSG00000040774	1492.05	1284.93	1508.86	1134.77	1169.24	1321.65	369.94	851.76	1010.06
ENSMUSG00000094993	2.78	189.67	2.77	0	304.14	83.83	0.93	1.63	8.02
ENSMUSG00000056174	26.83	10.88	15.91	8.63	23.17	45.31	19.57	26.03	34.74
ENSMUSG00000109257	0	0	0	21.17	11.59	30.21	3.73	48	21.38
ENSMUSG00000113275	1.85	0	0	1.57	1.93	0.76	5.59	2.44	2.67
ENSMUSG00000105804	69.38	20.21	49.12	32.94	8.69	30.21	2.8	27.66	11.58
ENSMUSG00000105801	197.95	164.02	287.8	58.03	89.79	182.77	7.45	111.45	78.38
ENSMUSG00000057802	22.2	10.88	7.61	9.41	0	17.37	3.73	7.32	8.02
ENSMUSG00000012126	120.25	134.48	159.81	351.33	364	390.45	366.21	546.69	285.03
ENSMUSG00000012123	38.85	22.54	3.46	40	77.24	39.27	40.07	30.91	11.58
ENSMUSG00000025269	209.98	233.98	240.75	199.98	210.48	250.74	163.07	196.06	125.59
ENSMUSG00000025268	95.28	68.41	86.48	120.77	101.38	46.82	71.75	54.51	57.01
ENSMUSG00000025266	920.39	889.27	534.08	514.45	229.79	263.57	356.89	350.63	391.91
ENSMUSG00000025265	147.08	194.33	168.11	14.12	4.83	12.84	0.93	31.73	9.8
ENSMUSG00000025264	506.91	391.77	431	423.48	473.1	501.47	279.55	249.75	170.13
ENSMUSG00000025262	67.53	38.87	51.19	40	67.59	14.35	4.66	67.52	28.5
ENSMUSG00000025261	2806.49	2363.86	2090.68	2438.16	2819.31	2425.8	3210.16	3682.81	4234.43
ENSMUSG00000025260	553.16	770.33	568.68	654.83	854.48	1220.45	575.87	281.48	296.61
ENSMUSG00000091123	0.93	0.78	1.38	4.71	4.83	4.53	0.93	3.25	3.56
ENSMUSG00000094338	1.85	3.11	0.69	1.57	0	1.51	0.93	0.81	0
ENSMUSG00000048439	288.6	307.05	262.2	188.21	166.07	155.58	132.32	251.38	187.05
ENSMUSG00000060131	1966.58	1483.15	2307.91	392.11	520.41	315.69	158.41	157.82	166.56
ENSMUSG00000065327	0	1.55	0	9.41	5.79	11.33	5.59	2.44	11.58
ENSMUSG00000047205	69.38	55.19	134.21	134.89	91.72	227.32	17.7	121.21	80.16
ENSMUSG00000001281	14529.18	16461.52	15227.63	10319.62	7540.69	6141.52	4247.29	2895.32	2355.93
ENSMUSG00000097979	12.03	14.77	8.99	7.84	11.59	13.59	24.23	8.14	8.02
ENSMUSG00000097973	0.93	0	2.08	0.78	0	2.27	5.59	1.63	0.89
ENSMUSG00000054079	2292.18	1923.89	2126.65	1989.58	2607.86	1835.21	1175.97	1610.77	2124.34
ENSMUSG00000067786	1.85	5.44	10.38	3.14	1.93	12.08	0	7.32	9.8
ENSMUSG00000067787	294.15	306.27	290.56	545.04	669.1	533.95	842.38	665.46	621.71
ENSMUSG00000097974	0	0	0	3.14	0	0	0	2.44	0
ENSMUSG00000053279	20.35	34.2	11.07	1.57	4.83	62.68	1.86	4.07	2.67
ENSMUSG00000001280	746.49	698.82	704.96	542.68	868.97	473.53	425.85	458.83	449.81
ENSMUSG00000109836	7.4	33.43	1.38	34.51	14.48	16.62	47.52	8.95	14.25
ENSMUSG00000068324	1.85	3.89	2.77	1.57	3.86	5.29	1.86	0	1.78
ENSMUSG00000068327	0	0.78	0	5.49	20.28	6.04	26.09	5.69	0
ENSMUSG00000068323	5.55	20.21	13.84	6.27	20.28	6.8	0	15.46	15.14
ENSMUSG00000068329	1649.3	1769.2	1600.87	4041.9	5906.07	3132.69	11404.68	8464.69	7612.89
ENSMUSG00000068328	4333.69	4490.63	4126.01	6470.64	8164.42	6192.88	13050.29	6884.83	6800.56
ENSMUSG00000110079	0	2.33	0.69	3.14	0	4.53	7.45	0.81	0
ENSMUSG00000106386	0	0	0	0	0	10.57	0	0	0
ENSMUSG00000106387	3.7	3.89	38.74	3.14	11.59	115.55	0	5.69	5.34
ENSMUSG00000106383	11.1	10.88	20.06	8.63	29.93	33.23	39.14	20.34	19.6
ENSMUSG00000064492	5.55	3.89	6.23	2.35	0	0	0	0	0.89
ENSMUSG00000063442	0.93	2.33	2.77	0.78	0.97	3.02	0	2.44	0.89
ENSMUSG00000076940	327.45	56.75	8.99	1013.22	757.93	1157.01	78.27	383.17	32.96
ENSMUSG00000066595	1162.74	706.59	734.02	2942.41	2395.45	2567.78	547.92	2760.28	3480
ENSMUSG00000070522	0	1.55	3.46	0.78	0.97	2.27	2.8	3.25	0
ENSMUSG00000046997	6.48	0	0	0	0	4.53	0.93	0	0.89
ENSMUSG00000100975	10.18	16.32	15.91	47.84	142.9	136.7	33.55	40.68	45.43
ENSMUSG00000092474	0	0.78	7.61	0.78	0	0	6.52	13.83	1.78
ENSMUSG00000092470	0	2.33	1.38	0	0	7.55	0	4.88	0
ENSMUSG00000066592	12.95	18.66	11.07	16.47	43.45	40.78	28.89	14.64	8.91
ENSMUSG00000019935	0.93	0	0	2.35	9.66	2.27	0	0	10.69
ENSMUSG00000019936	1.85	0.78	0	0	0.97	0	0	0.81	1.78
ENSMUSG00000103778	0	4.66	0	6.27	4.83	3.02	0	6.51	0
ENSMUSG00000091537	1139.62	1384.42	1206.53	2174.66	3160.14	4912.01	4259.4	1452.14	1560.52
ENSMUSG00000020346	1551.25	1790.97	1850.62	2369.14	2150.21	1696.24	1182.49	1240.62	884.47
ENSMUSG00000103772	45.33	95.61	60.88	35.29	20.28	19.64	16.77	25.22	8.91
ENSMUSG00000070462	425.51	506.04	469.75	475.24	363.03	533.95	666.26	558.89	402.6
ENSMUSG00000070461	25.9	51.3	56.73	8.63	23.17	12.08	11.18	18.71	24.94
ENSMUSG00000107477	0	0	0	1.57	0	3.78	0	0	0
ENSMUSG00000107476	55.5	47.42	25.6	88.62	94.62	110.26	78.27	85.42	47.21
ENSMUSG00000107470	16.65	17.1	15.22	41.56	31.86	73.26	77.34	31.73	32.07
ENSMUSG00000107472	0.93	0	5.53	0	0	0	0	0	0
ENSMUSG00000054728	6.48	5.44	5.53	2.35	8.69	2.27	53.11	39.86	32.07
ENSMUSG00000054723	84.18	115.04	90.63	117.63	140	133.68	324.28	135.04	134.5
ENSMUSG00000054720	3849.91	3055.68	3886.64	3570.58	3278.9	2446.94	4372.15	7573.88	6968.91
ENSMUSG00000054727	42.55	42.75	29.06	0	0	0	0	9.76	0.89
ENSMUSG00000036745	0.93	3.11	28.36	0	0	1.51	2.8	4.07	2.67
ENSMUSG00000036748	1166.44	1434.95	1314.46	1899.39	2115.45	2242.28	1829.18	1176.35	1208.69
ENSMUSG00000079800	0.93	8.55	2.77	17.25	15.45	18.88	4.66	8.95	8.02
ENSMUSG00000113035	365.38	272.84	408.17	323.1	209.52	378.37	225.5	146.43	146.97
ENSMUSG00000113036	13.88	13.99	11.07	25.1	17.38	24.17	13.98	14.64	18.7
ENSMUSG00000062797	341.33	494.38	393.64	652.48	777.24	1218.18	960.72	434.42	448.92
ENSMUSG00000062794	72.15	94.83	105.85	68.23	81.1	27.19	166.8	109.83	74.82
ENSMUSG00000062421	3403.12	3171.51	2705.7	5281.76	5770.9	3484.63	3048.02	4190.45	4777.76
ENSMUSG00000116535	0.93	0.78	0.69	0.78	0	0.76	0	1.63	0
ENSMUSG00000024601	2931.37	2339.76	2452.5	2237.39	1984.14	2226.42	2571.85	3171.92	3545.91
ENSMUSG00000019066	643.81	569.78	621.95	586.6	503.03	444.83	731.49	326.22	310.86
ENSMUSG00000079808	42.55	20.99	24.21	47.05	37.66	47.58	23.3	17.9	27.61
ENSMUSG00000042377	9.25	14.77	27.67	23.53	28.97	11.33	94.11	93.55	136.28
ENSMUSG00000101731	0.93	6.22	2.08	3.92	5.79	0.76	0.93	2.44	0.89
ENSMUSG00000055897	154.48	254.19	258.05	294.08	460.55	305.11	595.44	703.7	568.27
ENSMUSG00000055895	1.85	2.33	7.61	0.78	0	0	9.32	4.88	22.27
ENSMUSG00000060491	0	0	0	0.78	0	0	0	1.63	0
ENSMUSG00000097154	90.65	81.62	108.62	72.15	112.97	141.98	168.66	134.23	146.97
ENSMUSG00000097155	0	11.66	2.77	2.35	0.97	5.29	4.66	3.25	0.89
ENSMUSG00000097156	0	0.78	0	27.45	42.48	6.04	41	21.97	38.3
ENSMUSG00000097150	0	8.55	8.99	5.49	0.97	0	5.59	15.46	8.02
ENSMUSG00000097151	19.43	0	8.3	6.27	0.97	1.51	37.27	18.71	25.83
ENSMUSG00000097152	0	1.55	2.77	3.14	0	0	0	0.81	0
ENSMUSG00000097158	3.7	8.55	6.92	4.71	14.48	6.04	0	3.25	13.36
ENSMUSG00000097159	2.78	5.44	4.15	5.49	8.69	0.76	2.8	2.44	2.67
ENSMUSG00000112341	5.55	3.89	3.46	1.57	6.76	5.29	2.8	0.81	2.67
ENSMUSG00000112347	0	0	5.53	0.78	24.14	0	0	4.07	0.89
ENSMUSG00000112346	32.38	22.54	8.99	16.47	27.03	22.66	34.48	34.98	13.36
ENSMUSG00000112348	0	0	0	3.14	0	12.08	0.93	6.51	18.7
ENSMUSG00000031916	877.84	995.76	1242.51	1413.96	1164.41	844.35	1775.14	1090.93	1080.43
ENSMUSG00000031917	1171.07	1032.29	1297.85	1025.77	1137.38	1228.76	801.37	658.95	619.04
ENSMUSG00000031910	1.85	0.78	2.77	0	0	0	0	4.88	1.78
ENSMUSG00000031913	1104.47	989.54	813.58	993.61	666.21	853.41	1107.02	1007.14	971.76
ENSMUSG00000038637	98.05	142.25	166.73	109.79	150.62	147.27	141.64	348.19	271.67
ENSMUSG00000038633	5842.38	5270.3	5944.8	3031.81	3978.9	3840.34	2656.65	2582.12	2678.36
ENSMUSG00000030359	0.93	0	0	7.06	0	180.5	0	0	0.89
ENSMUSG00000030357	2736.19	2849.69	2260.17	3431.77	2553.79	2499.81	3314.52	1724.66	1475.01
ENSMUSG00000030351	5.55	2.33	3.46	0	3.86	5.29	2.8	3.25	2.67
ENSMUSG00000030353	0	3.11	0	0	0	0.76	0	0	0
ENSMUSG00000030352	665.08	572.89	830.87	307.42	144.83	328.52	43.8	63.45	128.26
ENSMUSG00000104818	3.7	2.33	5.53	4.71	5.79	8.31	0.93	0	0
ENSMUSG00000104814	37.93	31.09	45.66	39.21	58.9	11.33	12.11	30.1	70.37
ENSMUSG00000001627	55274.17	32826.64	30980.34	29125.34	34609.94	20741.61	13264.61	22567.08	25920.52
ENSMUSG00000073460	14.8	3.89	0	9.41	1.93	5.29	1.86	19.52	7.13
ENSMUSG00000073468	2389.31	2897.89	2420.67	1593.55	2416.69	2271.73	1704.32	1197.5	1124.97
ENSMUSG00000049690	8.33	0	0.69	0	0	0	0	12.2	0
ENSMUSG00000035329	889.86	1022.97	875.15	1020.28	1164.41	897.97	1048.31	1534.3	1467.89
ENSMUSG00000035325	3144.12	2916.54	3432.11	2354.24	2138.62	1558.79	1286.86	1536.74	1607.73
ENSMUSG00000026950	0.93	15.55	19.37	11.76	15.45	6.8	39.14	19.52	8.91
ENSMUSG00000075704	588.31	645.96	660	407.8	485.66	366.29	401.62	299.38	260.09
ENSMUSG00000075706	1596.57	1730.34	1582.88	3911.72	5613.52	6244.99	10973.24	4277.49	4273.62
ENSMUSG00000075701	2394.86	2381.74	2316.9	5154.71	4367.04	7962.38	4229.58	2133.87	1848.22
ENSMUSG00000026955	231.25	359.9	285.03	743.45	418.07	678.2	141.64	183.04	99.76
ENSMUSG00000026956	595.71	688.71	778.3	1411.61	2048.83	1603.35	1249.59	964.84	937.03
ENSMUSG00000075702	117.48	160.91	121.76	436.81	676.83	964.43	729.62	634.55	614.59
ENSMUSG00000026958	703.01	598.54	772.07	877.55	1331.45	641.19	898.29	848.5	605.68
ENSMUSG00000026959	15.73	8.55	3.46	0	1.93	10.57	0	7.32	1.78
ENSMUSG00000043068	18.5	17.1	24.91	277.62	442.21	314.18	3501.82	698	674.27
ENSMUSG00000043061	307.1	296.16	357.67	501.12	461.52	387.43	1632.57	1581.49	1529.35
ENSMUSG00000043065	158.18	302.38	186.1	246.25	150.62	74.77	141.64	165.14	217.33
ENSMUSG00000043067	8315.87	6839.73	7527.68	2747.93	2397.38	1817.84	969.1	2820.48	3280.48
ENSMUSG00000022257	198.88	235.53	334.15	924.6	1081.38	1078.47	23770.08	4238.45	5325.55
ENSMUSG00000029287	18.5	61.41	60.19	45.49	10.62	68.73	55.91	74.84	56.11
ENSMUSG00000029286	22.2	10.88	3.46	21.96	5.79	9.06	0	0	7.13
ENSMUSG00000029283	470.83	400.32	576.29	565.43	208.55	246.96	41	232.67	163.89
ENSMUSG00000031007	9365.76	7019.29	7490.32	6655.72	5905.11	7303.07	4770.04	6386.14	7828.44
