ID	LP_r1	LP_r2	LP_r3	ML_r1	ML_r2	ML_r3	MLN_r1	MLN_r2	MLN_r3
ENSMUSG00000074657	23.13	13.21	24.21	45.49	7.72	30.96	13.05	13.83	89.96
ENSMUSG00000096833	714.11	293.83	127.29	782.66	250.07	1254.44	12.11	16.27	45.43
ENSMUSG00000109377	12.03	8.55	7.61	0.78	0.97	3.02	0	5.69	6.23
ENSMUSG00000109379	12.03	2.33	26.29	14.12	8.69	2.27	0	5.69	0
ENSMUSG00000101167	1.85	0	7.61	0	0	0	0	0	0
ENSMUSG00000101162	6.48	7.77	5.53	4.71	4.83	0.76	0.93	13.83	4.45
ENSMUSG00000030079	1127.59	1152	947.79	999.1	994.48	1066.38	729.62	597.94	480.09
ENSMUSG00000030074	3.7	3.89	5.53	4.71	18.34	18.88	8.39	22.78	30.28
ENSMUSG00000030077	0	11.66	0	0	0	0	0	0	0.89
ENSMUSG00000104535	0.93	2.33	1.38	0	0.97	0	0	0	7.13
ENSMUSG00000048029	0.93	3.89	0.69	4.71	7.72	2.27	38.21	11.39	13.36
ENSMUSG00000078240	12.03	7.77	20.75	6.27	0.97	3.02	27.95	2.44	0
ENSMUSG00000111131	12.03	9.33	17.99	10.98	0	5.29	0	3.25	14.25
ENSMUSG00000090381	14.8	7	4.84	3.92	5.79	11.33	9.32	9.76	8.91
ENSMUSG00000011382	130.43	134.48	119.68	61.95	113.93	20.39	54.05	61.01	52.55
ENSMUSG00000048027	206.28	229.31	197.86	548.17	490.48	344.38	1819.87	1720.6	1696.8
ENSMUSG00000031309	542.06	460.96	373.58	327.02	318.62	243.94	293.53	313.21	277.9
ENSMUSG00000031303	203.5	267.4	250.44	58.82	85.93	41.54	136.05	93.55	109.56
ENSMUSG00000031304	1974.9	2136.88	2401.3	3814.47	4610.35	5379.5	3651.85	3475.36	3107.68
ENSMUSG00000090387	534.66	399.55	280.19	762.27	1033.1	718.22	150.02	677.66	825.69
ENSMUSG00000115624	24.05	23.32	24.91	10.19	54.07	25.68	0	48.81	23.16
ENSMUSG00000090389	4.63	1.55	2.08	0.78	0.97	2.27	0	0	0
ENSMUSG00000025804	18166.34	15082.53	13428.21	579.54	864.14	475.79	36.34	139.11	120.25
ENSMUSG00000025809	7843.19	6200.76	7653.59	7832.84	7207.59	3588.09	12706.45	15425.99	17967.38
ENSMUSG00000025808	2.78	0	0	0	2.9	4.53	0.93	3.25	5.34
ENSMUSG00000021311	1009.19	771.89	867.54	541.12	413.24	139.72	264.64	406.76	358.07
ENSMUSG00000029168	5.55	3.11	8.3	152.92	24.14	89.87	73.61	67.52	94.42
ENSMUSG00000029169	4441.91	3855.56	4641.41	2966.72	2115.45	2599.5	2103.14	3075.92	3013.27
ENSMUSG00000073234	3.7	0	2.08	43.13	38.62	79.3	0.93	62.64	77.49
ENSMUSG00000029165	266.4	260.41	228.99	156.85	145.79	129.14	41	255.45	79.27
ENSMUSG00000029166	99.9	73.85	98.24	71.36	88.83	58.15	473.37	229.41	241.38
ENSMUSG00000029167	0.93	0.78	0	57.25	38.62	30.21	0	45.56	0
ENSMUSG00000029161	53.65	69.18	67.11	29.8	80.14	56.64	151.89	95.18	161.22
ENSMUSG00000029162	1994.33	2531.76	1640.99	436.81	712.55	553.58	380.19	336.8	326.89
ENSMUSG00000029163	433.83	479.61	341.76	291.73	64.69	165.4	129.52	132.6	159.44
ENSMUSG00000108290	0	0	0	3.14	0	0	0	0	30.28
ENSMUSG00000108291	143.38	261.18	195.78	249.38	213.38	134.43	287	388.86	490.78
ENSMUSG00000108298	0	2.33	0	0.78	0.97	0	0.93	4.88	5.34
ENSMUSG00000105664	0	0	0	0	0	5.29	0	1.63	2.67
ENSMUSG00000033327	37.93	33.43	45.66	4.71	0	5.29	6.52	0	0.89
ENSMUSG00000075033	71.23	91.72	145.97	200.76	202.76	100.45	70.82	186.3	156.76
ENSMUSG00000075031	17.58	24.87	12.45	24.31	13.52	29.45	8.39	15.46	11.58
ENSMUSG00000058748	1723.3	844.96	613.64	637.58	817.79	629.86	587.05	940.43	1194.44
ENSMUSG00000011960	1850.95	1456.72	1620.24	1383.37	1974.48	1320.9	1231.88	1630.3	1723.52
ENSMUSG00000110666	0.93	1.55	0.69	2.35	0	3.02	0.93	2.44	1.78
ENSMUSG00000110661	0	0	4.15	0	0.97	3.78	0	0	12.47
ENSMUSG00000042708	74	34.98	35.28	21.17	0.97	20.39	21.43	17.08	10.69
ENSMUSG00000042707	0.93	0.78	0	3.92	0	0	1.86	0.81	7.13
ENSMUSG00000042705	1221.02	1409.3	1454.2	1158.3	947.17	923.65	1721.09	1252.01	1320.92
ENSMUSG00000110669	12.95	14.77	15.91	19.61	19.31	10.57	23.3	21.97	23.16
ENSMUSG00000036822	876.91	1124.8	1153.95	1170.06	446.07	734.08	739.87	1083.61	1188.21
ENSMUSG00000028699	7.4	16.32	67.11	0	0	4.53	0	0.81	0.89
ENSMUSG00000028698	12.03	13.21	62.26	47.84	54.07	33.99	341.05	343.31	315.31
ENSMUSG00000028696	230.33	202.11	239.37	235.27	146.76	157.09	164	239.99	170.13
ENSMUSG00000028691	9739.46	10678.96	9618.36	10594.1	10339.73	20978.75	25801.47	7936.71	8218.57
ENSMUSG00000028690	148.93	233.2	157.04	141.16	91.72	244.69	51.25	46.37	19.6
ENSMUSG00000028693	1351.44	1488.59	1437.6	1348.08	879.59	1534.63	1011.04	1099.07	1115.17
ENSMUSG00000028692	12949.26	14237.57	12088.15	9991.81	12589.38	12843.43	24008.63	10957.32	12276.64
ENSMUSG00000022462	6697.1	4884.74	7287.62	7952.83	6216	5218.63	2527.13	7468.12	8686.19
ENSMUSG00000022463	12236.08	10283.3	11366.59	9364.43	9283.45	5701.98	10608.9	11866.02	10099.75
ENSMUSG00000022464	5.55	3.11	0.69	2.35	3.86	83.08	4.66	4.07	17.81
ENSMUSG00000022466	417.18	379.34	264.97	348.2	287.72	428.97	357.82	332.73	298.39
ENSMUSG00000022468	66.6	37.31	60.88	81.56	32.83	97.42	2.8	88.67	56.11
ENSMUSG00000022469	201.65	161.68	216.54	25.88	33.79	2.27	49.39	86.23	35.63
ENSMUSG00000021136	3.7	1.55	35.97	7.06	1.93	47.58	0.93	17.9	46.32
ENSMUSG00000033323	1394.92	1487.81	1221.06	1174.77	908.55	461.44	860.08	1134.05	910.3
ENSMUSG00000035559	404.23	499.82	518.17	656.4	835.17	944.04	1210.45	583.29	559.37
ENSMUSG00000038302	97.13	145.36	246.29	171.75	120.69	109.51	103.43	153.76	117.57
ENSMUSG00000038301	2707.51	2342.87	2468.41	2342.48	2242.9	2236.23	4394.51	4549.21	5093.96
ENSMUSG00000038304	6.48	31.87	23.52	116.07	83.03	37.76	312.16	163.52	92.63
ENSMUSG00000038305	9.25	3.89	15.22	7.84	20.28	3.78	0.93	3.25	6.23
ENSMUSG00000020198	3939.63	3925.52	4081.04	2275.82	2275.72	1709.08	4193.24	3443.64	3880.82
ENSMUSG00000020193	38.85	27.98	27.67	66.66	35.72	48.33	41.93	58.57	40.08
ENSMUSG00000020190	4684.27	4752.6	4326.64	4719.47	5465.79	3748.2	6473.43	9300.17	9590.26
ENSMUSG00000020191	2.78	0	4.84	8.63	0	0	13.98	0	0
ENSMUSG00000020196	1788.98	1764.54	1616.09	1473.56	1176	946.3	1103.29	1247.94	1088.45
ENSMUSG00000028347	1223.79	973.22	944.33	20.39	52.14	24.17	254.39	203.38	369.64
ENSMUSG00000028345	1703.87	1222.74	1409.24	926.95	690.35	507.51	575.87	798.06	720.58
ENSMUSG00000028344	199.8	141.47	162.58	254.87	212.41	193.34	196.62	364.46	310.86
ENSMUSG00000028343	2867.54	2422.16	2539.67	3751.73	2843.45	3915.86	3487.84	2991.32	2728.24
ENSMUSG00000028341	8882.9	5881.28	5304.87	4875.53	7989.66	7372.55	3952.83	6116.05	7845.36
ENSMUSG00000028348	74.93	44.31	95.47	0	0	0.76	0.93	8.14	17.81
ENSMUSG00000052180	2.78	3.11	0	4.71	0	1.51	8.39	5.69	10.69
ENSMUSG00000049866	2098.86	1666.6	1768.29	1396.71	1931.04	1357.9	1122.86	1558.71	1885.63
ENSMUSG00000052188	0	0	2.08	3.92	6.76	1.51	0	2.44	3.56
ENSMUSG00000013523	149.85	170.24	151.51	149	246.21	197.87	28.89	94.37	88.18
ENSMUSG00000044894	1366.24	1579.53	1411.31	1788.03	2424.41	3702.89	2869.11	1224.35	1200.68
ENSMUSG00000087159	5.55	1.55	4.15	6.27	14.48	9.82	0	7.32	21.38
ENSMUSG00000087150	156.33	188.11	163.27	197.62	233.66	249.23	288.87	96	137.17
ENSMUSG00000087153	79.55	83.17	74.72	72.93	36.69	46.07	75.48	65.9	67.69
ENSMUSG00000103151	14.8	24.1	47.74	15.68	6.76	0	4.66	1.63	0
ENSMUSG00000103156	1.85	7	7.61	0.78	0	1.51	0	0	0
ENSMUSG00000103159	248.83	156.24	149.43	77.64	182.48	164.64	41	86.23	152.31
ENSMUSG00000032028	11.1	17.88	0.69	29.8	21.24	30.96	8.39	60.2	24.94
ENSMUSG00000063439	1147.94	1322.24	1029.43	1346.51	2024.69	1890.34	1465.77	1225.98	1092.01
ENSMUSG00000039478	87.88	63.74	61.57	46.27	66.62	66.46	44.73	94.37	33.85
ENSMUSG00000032020	1126.67	1050.95	1117.29	776.38	1382.62	690.28	3596.87	1561.15	1719.96
ENSMUSG00000032026	2394.86	2354.53	2278.85	4568.9	3041.38	7196.58	2657.58	1232.48	815.89
ENSMUSG00000033207	19.43	28.76	42.2	2.35	5.79	15.86	0	4.88	3.56
ENSMUSG00000087480	49.03	10.88	20.75	47.05	45.38	66.46	29.82	71.59	67.69
ENSMUSG00000001630	2230.21	1230.51	1465.27	2420.9	2424.41	1057.32	663.46	968.09	1149.91
ENSMUSG00000087485	0	0.78	1.38	2.35	0	9.82	0	2.44	0
ENSMUSG00000087484	12.95	2.33	2.77	37.64	74.34	38.52	11.18	15.46	11.58
ENSMUSG00000043895	117.48	183.45	240.06	323.89	272.28	135.19	181.71	816.78	533.53
ENSMUSG00000114688	1.85	7.77	2.08	2.35	2.9	1.51	5.59	3.25	1.78
ENSMUSG00000024446	403.31	553.46	518.17	548.17	588.97	1027.11	657.87	345.75	329.56
ENSMUSG00000024442	421.81	469.51	388.8	119.2	102.34	113.28	88.52	71.59	82.84
ENSMUSG00000060240	0	1.55	1.38	0	1.93	0	30.75	27.66	41.86
ENSMUSG00000060244	44.4	76.96	52.58	83.91	113.93	123.1	120.21	55.32	42.75
ENSMUSG00000116622	0	0.78	0.69	0.78	2.9	0	3.73	0	0.89
ENSMUSG00000116620	35.15	48.97	45.66	67.44	74.34	129.14	98.77	50.44	48.99
ENSMUSG00000116626	7.4	9.33	3.46	0	0	0	0	0	0
ENSMUSG00000116627	0.93	4.66	0	0	0	0	0	0	0
ENSMUSG00000116624	0	5.44	11.76	7.06	6.76	21.15	0.93	20.34	48.99
ENSMUSG00000116625	0	0	0	0.78	0	0.76	0	0.81	0.89
