ARNT	MFSD2A	Unknown
ARNT	RELB	Unknown
ARNT	UGT1A6	Unknown
ARNT	VEGFA	Unknown
ARNTL	BHLHE40	Activation
ARNTL	CRY1	Activation
ARNTL	CRY1	Unknown
ARNTL	CRY2	Activation
ARNTL	CRY2	Unknown
ARNTL	PER1	Activation
ARNTL	PER1	Unknown
ARNTL	PER2	Activation
ARNTL	PER2	Unknown
ARNTL	PER3	Activation
ARNTL2	SERPINE1	Activation
ARX	KDM5C	Unknown
ARX	LMO1	Unknown
ARX	PAX4	Unknown
ARX	SHOX2	Unknown
ASCL1	CHRNA3	Unknown
ASCL1	CHRNA5	Unknown
ASCL1	CHRNB4	Unknown
ASCL1	DKK1	Repression
ASCL1	IGF2	Repression
ASCL1	PCSK6	Repression
ASCL1	TPH1	Repression
ASH1L	TGFB1	Unknown
ASH1L	TIMP1	Unknown
ASXL1	FABP4	Unknown
ATF1	BCL2	Unknown
ATF1	CCNA1	Repression
ATF1	CFTR	Activation
ATF1	CGA	Unknown
ATF1	CYP11B1	Unknown
ATF1	CYP11B2	Unknown
ATF1	ERBB2	Unknown
ATF1	FLT1	Unknown
ATF1	FTH1	Activation
ATF1	FTH1	Repression
ATF1	GABPA	Unknown
ATF1	IL10	Activation
ATF1	LDHA	Unknown
ATF1	MAP1LC3B	Activation
ATF1	MITF	Activation
ATF1	MITF	Unknown
ATF1	MUC2	Unknown
ATF1	NTS	Unknown
ATF1	PCSK1	Activation
ATF1	PLAUR	Unknown
ATF1	SLC20A1	Activation
ATF1	SLC22A8	Unknown
ATF1	TGFB2	Activation
ATF1	TH	Unknown
ATF1	TOP2A	Unknown
ATF1	USP7	Unknown
ATF2	APOC3	Activation
ATF2	ATF3	Activation
ATF2	CCND1	Activation
ATF2	CDKN1A	Unknown
ATF2	CYP11B1	Unknown
ATF2	CYP11B2	Unknown
ATF2	DUSP1	Unknown
ATF2	DUSP10	Unknown
ATF2	FAS	Unknown
ATF2	FASLG	Unknown
ATF2	FN1	Unknown
ATF2	HAT	Repression
ATF2	IFNB1	Activation
ATF2	IFNB1	Unknown
ATF2	IFNG	Activation
ATF2	IMPDH2	Unknown
ATF2	INS	Activation
ATF2	INS	Unknown
ATF2	ITGB8	Unknown
ATF2	JUN	Activation
ATF2	MAP3K1	Unknown
ATF2	MMP2	Activation
ATF2	NOS3	Repression
ATF2	PCK1	Activation
ATF2	PCK2	Unknown
ATF2	PLAT	Activation
ATF2	PLAU	Unknown
ATF2	POLB	Activation
ATF2	PTGS2	Unknown
ATF2	RELA	Activation
ATF2	RETN	Activation
ATF2	ST3GAL5	Activation
ATF2	TGFB2	Repression
ATF2	TNF	Activation
ATF3	ADIPOR1	Repression
ATF3	ADIPOR2	Repression
ATF3	AK4	Unknown
ATF3	ASNS	Activation
ATF3	ASNS	Unknown
ATF3	CCL5	Unknown
ATF3	CD82	Unknown
ATF3	DDIT3	Activation
ATF3	GDF15	Activation
ATF3	ID1	Repression
ATF3	IFNG	Activation
ATF3	KIAA0101	Unknown
ATF3	LDLR	Repression
ATF3	MMP2	Repression
ATF3	PENK	Unknown
ATF3	SELE	Repression
ATF3	TP53	Unknown
ATF4	APOE	Activation
ATF4	ASNS	Activation
ATF4	ASNS	Unknown
ATF4	ATF3	Activation
ATF4	ATF3	Unknown
ATF4	ATG5	Activation
ATF4	BGLAP	Unknown
ATF4	CA9	Unknown
ATF4	CCL2	Unknown
ATF4	CEBPB	Activation
ATF4	CHAC1	Activation
ATF4	CXCL8	Unknown
ATF4	DDIT3	Activation
